# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1e-05                2.222339450047e-02 -1.668976699577e-02 1.571561859296e-01 2.223539596433e-02 -1.670016110115e-02 1.570643724530e-01 -1.200146385428e-05 1.039410537588e-05 9.181347659328e-05
2e-05                -1.125130236447e-02 8.366623623637e-03 -8.025845190612e-02 -1.123879642183e-02 8.355599617929e-03 -8.033169389772e-02 -1.250594263963e-05 1.102400570778e-05 7.324199160673e-05
3e-05                2.564534331591e-04 -1.915776803550e-04 2.097881232376e-03 2.699059476512e-04 -2.034314474385e-04 2.036081211722e-03 -1.345251449207e-05 1.185376708343e-05 6.180002065348e-05
4e-05                8.609552347395e-05 -8.546050064373e-05 5.831607361771e-04 9.989908401933e-05 -9.754011894678e-05 5.285447172798e-04 -1.380356054539e-05 1.207961830305e-05 5.461601889736e-05
5e-05                8.431682181242e-05 -8.948500717514e-05 6.012184795955e-04 9.817944945653e-05 -1.014719111295e-04 5.513579463093e-04 -1.386262764412e-05 1.198690395436e-05 4.986053328620e-05
6e-05                8.341305990738e-05 -8.584927524684e-05 5.814740303961e-04 9.719669694161e-05 -9.762604087642e-05 5.351262858885e-04 -1.378363703422e-05 1.177676562958e-05 4.634774450763e-05
7e-05                8.213807775219e-05 -8.304396246732e-05 5.592439349971e-04 9.578446728543e-05 -9.456892994046e-05 5.157359837248e-04 -1.364638953323e-05 1.152496747313e-05 4.350795127235e-05
8e-05                8.072493143552e-05 -8.106611489100e-05 5.398890207825e-04 9.421166567611e-05 -9.232394474551e-05 4.987915080341e-04 -1.348673424059e-05 1.125782985451e-05 4.109751274836e-05
9e-05                7.937490439512e-05 -7.960787968424e-05 5.245988108604e-04 9.269422789858e-05 -9.059499943866e-05 4.855924550389e-04 -1.331932350346e-05 1.098711975442e-05 3.900635582153e-05
0.0001               7.821405957993e-05 -7.841854608582e-05 5.118639107597e-04 9.136383688574e-05 -8.913756557036e-05 4.746921167698e-04 -1.314977730580e-05 1.071901948454e-05 3.717179398994e-05
0.00011              7.711079928592e-05 -7.736385311902e-05 5.004050952525e-04 9.009167563139e-05 -8.782087291288e-05 4.648576168625e-04 -1.298087634546e-05 1.045701979386e-05 3.554747838998e-05
0.00012              7.614381071463e-05 -7.638728207861e-05 4.898572965025e-04 8.895798088345e-05 -8.659075778903e-05 4.557598810086e-04 -1.281417016882e-05 1.020347571042e-05 3.409741549396e-05
0.00013              7.511778959987e-05 -7.553235071507e-05 4.801519026622e-04 8.776847867319e-05 -8.549113064508e-05 4.473603513339e-04 -1.265068907332e-05 9.958779930013e-06 3.279155132829e-05
0.00014              7.419208720062e-05 -7.470972961137e-05 4.709070185001e-04 8.668297286795e-05 -8.443283372546e-05 4.393004292723e-04 -1.249088566734e-05 9.723104114097e-06 3.160658922782e-05
0.00015              7.331135296944e-05 -7.395392123863e-05 4.623568044239e-04 8.564638939585e-05 -8.345004124415e-05 4.318325107742e-04 -1.233503642641e-05 9.496120005514e-06 3.052429364969e-05
0.00016              7.249399232489e-05 -7.335485051804e-05 4.550507232503e-04 8.467725152419e-05 -8.263223760801e-05 4.255205334759e-04 -1.218325919930e-05 9.277387089977e-06 2.953018977439e-05
0.00017              7.157764007216e-05 -7.262988256659e-05 4.468172789237e-04 8.361331482107e-05 -8.169619035199e-05 4.182048452879e-04 -1.203567474891e-05 9.066307785395e-06 2.861243363579e-05
0.00018              7.084105844410e-05 -7.210731665980e-05 4.404189800081e-04 8.273322047725e-05 -8.096965766799e-05 4.126570950243e-04 -1.189216203314e-05 8.862341008197e-06 2.776188498378e-05
0.00019              7.007899200750e-05 -7.149089386156e-05 4.332583336551e-04 8.183173381412e-05 -8.015573056907e-05 4.062874066305e-04 -1.175274180662e-05 8.664836707510e-06 2.697092702456e-05
0.0002               6.932842914745e-05 -7.096682364464e-05 4.270870445931e-04 8.094557486199e-05 -7.943978502672e-05 4.008541395508e-04 -1.161714571455e-05 8.472961382078e-06 2.623290504233e-05
0.00021              6.867771155613e-05 -7.045516742995e-05 4.210417093095e-04 8.016303302369e-05 -7.874161577219e-05 3.954990401319e-04 -1.148532146756e-05 8.286448342238e-06 2.554266917758e-05
