# Force             
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5e-05                4.541549091367e-03 -3.441990005899e-03 2.929636569340e-02 4.541661667100e-03 -3.440660828551e-03 2.918409624947e-02 -1.125757330918e-07 -1.329177348458e-06 1.122694439250e-04
0.0001               -2.050772183969e-03 1.537080855553e-03 -1.326736156287e-02 -2.044405504602e-03 1.533814395279e-03 -1.332937950581e-02 -6.366679367184e-06 3.266460274388e-06 6.201794293931e-05
0.00015              4.755495740401e-05 -5.663972530143e-05 3.612126956126e-04 5.650850429819e-05 -6.209411818066e-05 3.176911354117e-04 -8.953546894179e-06 5.454392879232e-06 4.352156020089e-05
0.0002               6.858431278805e-05 -6.907386026113e-05 4.494912834124e-04 7.839715286667e-05 -7.530980347430e-05 4.147808960848e-04 -9.812840078616e-06 6.235943213167e-06 3.471038732752e-05
0.00025              6.320157507611e-05 -6.523178506606e-05 4.112796138267e-04 7.312945773838e-05 -7.157296154708e-05 3.817905474416e-04 -9.927882662269e-06 6.341176481019e-06 2.948906638511e-05
0.0003               6.098104333676e-05 -6.323078943660e-05 3.884312190015e-04 7.073094414085e-05 -6.939302729678e-05 3.625027212069e-04 -9.749900804091e-06 6.162237860184e-06 2.592849779455e-05
0.00035              6.030044092447e-05 -6.294657271630e-05 3.809074950156e-04 6.977139652116e-05 -6.881809648024e-05 3.576209905656e-04 -9.470955596690e-06 5.871523763937e-06 2.328650444994e-05
0.0004               5.813930657557e-05 -6.084146786100e-05 3.601129059603e-04 6.730863471953e-05 -6.639003333643e-05 3.389010116903e-04 -9.169328143965e-06 5.548565475429e-06 2.121189427001e-05
0.00045              5.709898985091e-05 -5.980430688958e-05 3.501929002179e-04 6.597404072812e-05 -6.502756304378e-05 3.306705972671e-04 -8.875050877211e-06 5.223256154197e-06 1.952230295086e-05
0.0005               5.614834952557e-05 -5.901361759871e-05 3.413095806429e-04 6.474674986843e-05 -6.392048704593e-05 3.231990459655e-04 -8.598400342857e-06 4.906869447219e-06 1.811053467741e-05
0.00055              5.599993023996e-05 -5.858393885990e-05 3.383491156738e-04 6.434085274814e-05 -6.318831186967e-05 3.214362783582e-04 -8.340922508177e-06 4.604373009777e-06 1.691283731559e-05
0.0006               5.521140368254e-05 -5.751531327269e-05 3.302876944787e-04 6.331268544995e-05 -6.183227293054e-05 3.144107935521e-04 -8.101281767410e-06 4.316959657852e-06 1.587690092659e-05
0.00065              5.398373475708e-05 -5.651970123860e-05 3.212402111295e-04 6.186277814247e-05 -6.056256209280e-05 3.062700811632e-04 -7.879043385387e-06 4.042860854199e-06 1.497012996633e-05
0.0007               5.385098170234e-05 -5.604032906701e-05 3.190512639581e-04 6.152326712133e-05 -5.982387979728e-05 3.048846614492e-04 -7.672285418991e-06 3.783550730266e-06 1.416660250896e-05
0.00075              5.314560818549e-05 -5.519625978770e-05 3.132835042125e-04 6.062559265849e-05 -5.873629629046e-05 2.998343857076e-04 -7.479984472996e-06 3.540036502766e-06 1.344911850492e-05
0.0008               5.329836366483e-05 -5.507806927123e-05 3.140222222360e-04 6.059854677932e-05 -5.838828803222e-05 3.012192967479e-04 -7.300183114484e-06 3.310218760988e-06 1.280292548814e-05
0.00085              5.209675682408e-05 -5.387028664066e-05 3.043361273735e-04 5.922993729351e-05 -5.696560253677e-05 2.921215907089e-04 -7.133180469428e-06 3.095315896106e-06 1.221453666461e-05
0.0009               5.170640261503e-05 -5.328219617971e-05 3.019592058143e-04 5.868321562148e-05 -5.617754561484e-05 2.902838076853e-04 -6.976813006442e-06 2.895349435125e-06 1.167539812899e-05
