# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1e-05                -2.456584535615e-04 1.233050018872e-03 1.829731953150e-04 -2.455131159435e-04 1.232683166438e-03 1.830954231084e-04 -1.453376179362e-07 3.668524348697e-07 -1.222277934078e-07
2e-05                1.256474798849e-04 -6.300885277890e-04 -9.378630545436e-05 1.257673172973e-04 -6.303535646909e-04 -9.364960827996e-05 -1.198374124596e-07 2.650369019167e-07 -1.366971743978e-07
3e-05                -3.203521094188e-06 1.839380552574e-05 3.008128934410e-06 -3.100995042303e-06 1.819211823241e-05 3.151704216762e-06 -1.025260518856e-07 2.016872933337e-07 -1.435752823525e-07
4e-05                -8.334688118962e-07 5.341846975407e-06 9.299619957190e-07 -7.436653868394e-07 5.174521749694e-06 1.074447756751e-06 -8.980342505680e-08 1.673252257128e-07 -1.444857610319e-07
5e-05                -8.628723708023e-07 5.455347964060e-06 9.648972102445e-07 -7.823524700580e-07 5.306363701789e-06 1.107487176577e-06 -8.051990074427e-08 1.489842622709e-07 -1.425899663328e-07
6e-05                -8.382798753382e-07 5.298824924171e-06 9.513102239695e-07 -7.646968314511e-07 5.161198960548e-06 1.090960371031e-06 -7.358304388714e-08 1.376259636230e-07 -1.396501470612e-07
7e-05                -8.092112937858e-07 5.109283007189e-06 9.299452710121e-07 -7.410352303578e-07 4.980224826420e-06 1.066309906148e-06 -6.817606342792e-08 1.290581807684e-07 -1.363646351357e-07
8e-05                -7.825153785727e-07 4.941751088977e-06 9.107431949349e-07 -7.187537799965e-07 4.819960165068e-06 1.043746155892e-06 -6.376159857617e-08 1.217909239089e-07 -1.330029609568e-07
9e-05                -7.615526893039e-07 4.803709054722e-06 8.953932399500e-07 -7.015382238212e-07 4.688299641789e-06 1.025074100289e-06 -6.001446548273e-08 1.154094129333e-07 -1.296808603390e-07
0.0001               -7.440230669874e-07 4.689043470647e-06 8.831200969282e-07 -6.872723874599e-07 4.579250775583e-06 1.009576621358e-06 -5.675067952748e-08 1.097926950648e-07 -1.264565244301e-07
0.00011              -7.284024403985e-07 4.584543007650e-06 8.721071378225e-07 -6.745431390556e-07 4.479695132316e-06 9.954638550103e-07 -5.385930134292e-08 1.048478753336e-07 -1.233567171878e-07
0.00012              -7.141094358284e-07 4.490992173218e-06 8.622852581902e-07 -6.628358612388e-07 4.390507667369e-06 9.826827259197e-07 -5.127357458960e-08 1.004845058490e-07 -1.203974677295e-07
0.00013              -7.005178655920e-07 4.402420812004e-06 8.531680055112e-07 -6.515739572620e-07 4.305822624364e-06 9.707431969990e-07 -4.894390833000e-08 9.659818764012e-08 -1.175751914878e-07
0.00014              -6.879266057150e-07 4.320118391695e-06 8.445640357824e-07 -6.410929793153e-07 4.227012305889e-06 9.594496820639e-07 -4.683362639970e-08 9.310608580568e-08 -1.148856462814e-07
0.00015              -6.762776443012e-07 4.243338567584e-06 8.367890921160e-07 -6.313645527951e-07 4.153397608752e-06 9.491055472115e-07 -4.491309150608e-08 8.994095883195e-08 -1.123164550955e-07
0.00016              -6.668401804856e-07 4.176660823131e-06 8.299885915967e-07 -6.236810896864e-07 4.089609683397e-06 9.398507076202e-07 -4.315909079926e-08 8.705113973394e-08 -1.098621160235e-07
0.00017              -6.550838049209e-07 4.103058266957e-06 8.223549184683e-07 -6.135332345998e-07 4.018663524337e-06 9.298638486133e-07 -4.155057032112e-08 8.439474262018e-08 -1.075089301450e-07
0.00018              -6.470162228845e-07 4.043890263210e-06 8.163497707454e-07 -6.069438593922e-07 3.961946450141e-06 9.215991710802e-07 -4.007236349235e-08 8.194381306876e-08 -1.052494003348e-07
0.00019              -6.376217666380e-07 3.982006984721e-06 8.098535226615e-07 -5.989121497851e-07 3.902330768936e-06 9.129281060024e-07 -3.870961685297e-08 7.967621578416e-08 -1.030745833409e-07
0.0002               -6.288411578447e-07 3.923060688517e-06 8.038809656006e-07 -5.913921145264e-07 3.845488754318e-06 9.048507629026e-07 -3.744904331825e-08 7.757193419944e-08 -1.009697973021e-07
0.00021              -6.215304942109e-07 3.870482137934e-06 7.983486210673e-07 -5.852492956338e-07 3.794863911973e-06 8.972822292640e-07 -3.628119857705e-08 7.561822596100e-08 -9.893360819665e-08
