# Moment            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5e-05                -4.970975976059e-05 2.507691428620e-04 3.752073595136e-05 -4.955196466888e-05 2.501371557987e-04 3.750549118644e-05 -1.577950917058e-07 6.319870632099e-07 1.524476491762e-08
0.0001               2.281747333897e-05 -1.130409601439e-04 -1.666665313403e-05 2.290212597041e-05 -1.133312842478e-04 -1.662643767213e-05 -8.465263143412e-08 2.903241039695e-07 -4.021546189562e-08
0.00015              -5.377781675486e-07 2.950351519294e-06 6.175453311276e-07 -4.773416951485e-07 2.765874423108e-06 6.833563359991e-07 -6.043647240008e-08 1.844770961855e-07 -6.581100487154e-08
0.0002               -6.865570463082e-07 4.104764820490e-06 7.943622764370e-07 -6.376745283166e-07 3.962725702776e-06 8.696298414850e-07 -4.888251799155e-08 1.420391177146e-07 -7.526756504801e-08
0.00025              -6.293582388911e-07 3.727059615085e-06 7.439564190144e-07 -5.879753446724e-07 3.607239175553e-06 8.210153575227e-07 -4.138289421867e-08 1.198204395323e-07 -7.705893850832e-08
0.0003               -6.031290397831e-07 3.554503460993e-06 7.234040455396e-07 -5.672388935821e-07 3.448350029768e-06 7.990928985111e-07 -3.589014620101e-08 1.061534312258e-07 -7.568885297145e-08
0.00035              -5.995799603313e-07 3.465361008625e-06 7.152977798010e-07 -5.678325254956e-07 3.368535332808e-06 7.883398703072e-07 -3.174743483569e-08 9.682567581702e-08 -7.304209050625e-08
0.0004               -5.742093160539e-07 3.310632296954e-06 6.956094495937e-07 -5.456120613213e-07 3.220761274896e-06 7.656050165373e-07 -2.859725473258e-08 8.987102205813e-08 -6.999556694360e-08
0.00045              -5.659951973750e-07 3.212684435692e-06 6.830628610548e-07 -5.398122121966e-07 3.128375123937e-06 7.499478361483e-07 -2.618298517844e-08 8.430931175535e-08 -6.688497509345e-08
0.0005               -5.584119148122e-07 3.128089721793e-06 6.730688791815e-07 -5.341120460761e-07 3.048432314862e-06 7.369144002959e-07 -2.429986873613e-08 7.965740693091e-08 -6.384552111437e-08
0.00055              -5.614413304636e-07 3.099774965144e-06 6.689491268158e-07 -5.386337384289e-07 3.024106086798e-06 7.298731432896e-07 -2.280759203473e-08 7.566887834644e-08 -6.092401647379e-08
0.0006               -5.581780130597e-07 3.043568854303e-06 6.607150303759e-07 -5.365862516922e-07 2.971382063550e-06 7.188402557766e-07 -2.159176136750e-08 7.218679075294e-08 -5.812522540067e-08
0.00065              -5.468807726463e-07 2.949763788421e-06 6.476926109950e-07 -5.263111997923e-07 2.880654584362e-06 7.031462576716e-07 -2.056957285396e-08 6.910920405930e-08 -5.545364667663e-08
0.0007               -5.522108104543e-07 2.934228883406e-06 6.442724193488e-07 -5.325261892400e-07 2.867878980544e-06 6.971907150718e-07 -1.968462121425e-08 6.634990286142e-08 -5.291829572303e-08
0.00075              -5.482484867235e-07 2.882445748925e-06 6.357633127872e-07 -5.293497888137e-07 2.818589546534e-06 6.862962489320e-07 -1.889869790986e-08 6.385620239037e-08 -5.053293614479e-08
0.0008               -5.576884172910e-07 2.885616920702e-06 6.348222083005e-07 -5.395022649605e-07 2.824043281209e-06 6.831010074819e-07 -1.818615233055e-08 6.157363949216e-08 -4.827879918145e-08
0.00085              -5.457392470251e-07 2.804062488874e-06 6.227115763817e-07 -5.282098294355e-07 2.744576831709e-06 6.688805239742e-07 -1.752941758960e-08 5.948565716584e-08 -4.616894759247e-08
0.0009               -5.483284146898e-07 2.779768376708e-06 6.167501204993e-07 -5.314104568620e-07 2.722212024281e-06 6.609485797948e-07 -1.691795782779e-08 5.755635242684e-08 -4.419845929551e-08
0.00095              -5.543179724400e-07 2.780539774337e-06 6.155653831556e-07 -5.379639294815e-07 2.724750940838e-06 6.579120548769e-07 -1.635404295849e-08 5.578883349889e-08 -4.234667172130e-08
0.001                -5.463664592840e-07 2.719707392866e-06 6.043495414642e-07 -5.305334035245e-07 2.665539297447e-06 6.449653356191e-07 -1.583305575951e-08 5.416809541949e-08 -4.061579415488e-08
0.00105              -5.457654611712e-07 2.693054920749e-06 5.990352776594e-07 -5.304217691521e-07 2.640380994856e-06 6.380314242487e-07 -1.534369201912e-08 5.267392589332e-08 -3.899614658929e-08
0.0011               -5.540062334928e-07 2.705375642557e-06 5.982432078314e-07 -5.391136387242e-07 2.654074159017e-06 6.357070800941e-07 -1.489259476860e-08 5.130148353916e-08 -3.746387226279e-08
0.00115              -5.547968044535e-07 2.691290071224e-06 5.944231472995e-07 -5.403184584168e-07 2.641246556476e-06 6.304447745468e-07 -1.447834603666e-08 5.004351474743e-08 -3.602162724727e-08
0.0012               -5.425588723677e-07 2.613175860454e-06 5.805603499268e-07 -5.284712027327e-07 2.564298996004e-06 6.152124911970e-07 -1.408766963500e-08 4.887686444967e-08 -3.465214127018e-08
0.00125              -5.543624152528e-07 2.652158926625e-06 5.839580510792e-07 -5.406323434162e-07 2.604350562622e-06 6.173228235328e-07 -1.373007183660e-08 4.780836400307e-08 -3.336477245366e-08
0.0013               -5.557263507354e-07 2.636506830691e-06 5.796330223094e-07 -5.423306991662e-07 2.589700398858e-06 6.117652016760e-07 -1.339565156913e-08 4.680643183334e-08 -3.213217936657e-08
0.00135              -5.418132851891e-07 2.569078163915e-06 5.668126742489e-07 -5.287273499129e-07 2.523186367104e-06 5.977920051948e-07 -1.308593527619e-08 4.589179681131e-08 -3.097933094594e-08
0.0014               -5.576197776531e-07 2.615678638104e-06 5.717513450631e-07 -5.448174473306e-07 2.570641696514e-06 6.016169509804e-07 -1.280233032250e-08 4.503694159084e-08 -2.986560591734e-08
0.00145              -5.479609414252e-07 2.562455305297e-06 5.619615900452e-07 -5.354247806565e-07 2.518220681254e-06 5.907610547440e-07 -1.253616076873e-08 4.423462404293e-08 -2.879946469879e-08
0.0015               -5.542765890950e-07 2.575653423285e-06 5.612257515448e-07 -5.419856024139e-07 2.532166696311e-06 5.889974270346e-07 -1.229098668111e-08 4.348672697453e-08 -2.777167548978e-08
0.00155              -5.602605337614e-07 2.584700890898e-06 5.609657275068e-07 -5.481968020322e-07 2.541919964021e-06 5.877383877348e-07 -1.206373172927e-08 4.278092687628e-08 -2.677266022793e-08
0.0016               -5.433691281776e-07 2.508171490492e-06 5.470575065919e-07 -5.315192286805e-07 2.466051753723e-06 5.728782476649e-07 -1.184989949712e-08 4.211973676840e-08 -2.582074107295e-08
0.00165              -5.546970761739e-07 2.538780879435e-06 5.502531382256e-07 -5.430457065468e-07 2.497290903457e-06 5.751371377033e-07 -1.165136962710e-08 4.148997597839e-08 -2.488399947767e-08
0.0017               -5.536818658103e-07 2.524714141199e-06 5.458812987335e-07 -5.422154489001e-07 2.483818108931e-06 5.698586958200e-07 -1.146641691019e-08 4.089603226833e-08 -2.397739708653e-08
0.00175              -5.548404170739e-07 2.518099287130e-06 5.429784736976e-07 -5.435468935838e-07 2.477767102902e-06 5.660690111263e-07 -1.129352349010e-08 4.033218422845e-08 -2.309053742871e-08
0.0018               -5.586046239800e-07 2.523242535632e-06 5.422162722398e-07 -5.474756111356e-07 2.483453822804e-06 5.644420262900e-07 -1.112901284446e-08 3.978871282812e-08 -2.222575405021e-08
0.00185              -5.547387416837e-07 2.496571874164e-06 5.371010263718e-07 -5.437680724008e-07 2.457303655642e-06 5.584760527067e-07 -1.097066928289e-08 3.926821852259e-08 -2.137502633482e-08
0.0019               -5.448586547718e-07 2.446020428008e-06 5.273115836149e-07 -5.340420337671e-07 2.407255066190e-06 5.478664383136e-07 -1.081662100463e-08 3.876536181848e-08 -2.055485469866e-08
0.00195              -5.603494151753e-07 2.501266348797e-06 5.341259819443e-07 -5.496773246597e-07 2.462982149009e-06 5.538722703104e-07 -1.067209051552e-08 3.828419978831e-08 -1.974628836607e-08
0.002                -5.512717787903e-07 2.453487642208e-06 5.260764428310e-07 -5.407397971338e-07 2.415669291157e-06 5.450319876838e-07 -1.053198165651e-08 3.781835105099e-08 -1.895554485274e-08
0.00205              -5.549881295921e-07 2.461849918099e-06 5.252272915580e-07 -5.445894458562e-07 2.424476253427e-06 5.434207619385e-07 -1.039868373590e-08 3.737366467234e-08 -1.819347038047e-08
0.0021               -5.481702081027e-07 2.425843720909e-06 5.193950072721e-07 -5.379056214727e-07 2.388909936242e-06 5.368353907719e-07 -1.026458663003e-08 3.693378466739e-08 -1.744038349979e-08
0.00215              -5.555366496290e-07 2.446646398311e-06 5.205083379156e-07 -5.454000361702e-07 2.410138321862e-06 5.372178272512e-07 -1.013661345885e-08 3.650807644965e-08 -1.670948933569e-08
0.0022               -5.499896555202e-07 2.416324876000e-06 5.152021555819e-07 -5.399781971547e-07 2.380230003723e-06 5.311993436561e-07 -1.001145836549e-08 3.609487227683e-08 -1.599718807422e-08
0.00225              -5.605782891684e-07 2.450041274438e-06 5.183835407206e-07 -5.506896724145e-07 2.414353916844e-06 5.336854798330e-07 -9.888616753832e-09 3.568735759406e-08 -1.530193911235e-08
0.0023               -5.462531282253e-07 2.388397924862e-06 5.086248447751e-07 -5.364863969553e-07 2.353104055712e-06 5.232521294580e-07 -9.766731270057e-09 3.529386914990e-08 -1.462728468292e-08
0.00235              -5.451265714480e-07 2.375653528272e-06 5.056038519632e-07 -5.354794893833e-07 2.340741036030e-06 5.195774589898e-07 -9.647082064733e-09 3.491249224149e-08 -1.397360702663e-08
0.0024               -5.541072746178e-07 2.405655909319e-06 5.085179198009e-07 -5.445773747049e-07 2.371120712655e-06 5.218533414034e-07 -9.529899912901e-09 3.453519666422e-08 -1.333542160253e-08
0.00245              -5.430142649016e-07 2.354655500102e-06 5.004104282073e-07 -5.336006678970e-07 2.320487231043e-06 5.131310380089e-07 -9.413597004645e-09 3.416826905817e-08 -1.272060980168e-08
0.0025               -5.469813868698e-07 2.364864197586e-06 5.002767423069e-07 -5.376820762075e-07 2.331052457424e-06 5.124025016975e-07 -9.299310662244e-09 3.381174016144e-08 -1.212575939064e-08
0.00255              -5.523772482195e-07 2.380188030980e-06 5.011618944048e-07 -5.431904527619e-07 2.346729639831e-06 5.127086647691e-07 -9.186795457545e-09 3.345839114904e-08 -1.154677036422e-08
0.0026               -5.407102577411e-07 2.328068012707e-06 4.932953605042e-07 -5.316348022816e-07 2.294952249699e-06 5.042789988680e-07 -9.075455459505e-09 3.311576300798e-08 -1.098363836386e-08
0.00265              -5.463266180899e-07 2.345727664429e-06 4.939335606151e-07 -5.373610513198e-07 2.312947659304e-06 5.043792735163e-07 -8.965566770199e-09 3.278000512518e-08 -1.044571290119e-08
0.0027               -5.411497927532e-07 2.319217079702e-06 4.895567599264e-07 -5.322938350083e-07 2.286767020591e-06 4.994814422718e-07 -8.855957744826e-09 3.245005911039e-08 -9.924682345346e-09
0.00275              -5.425183729575e-07 2.319944863895e-06 4.884736202970e-07 -5.337703726426e-07 2.287817614574e-06 4.978945544872e-07 -8.748000314947e-09 3.212724932080e-08 -9.420934190215e-09
0.0028               -5.423287643712e-07 2.314640404499e-06 4.864275651234e-07 -5.336874462404e-07 2.282829304905e-06 4.953654862479e-07 -8.641318130792e-09 3.181109959449e-08 -8.937921124474e-09
0.00285              -5.434526693738e-07 2.314672304493e-06 4.852836212091e-07 -5.349169704126e-07 2.283174797468e-06 4.937590517524e-07 -8.535698961124e-09 3.149750702428e-08 -8.475430543305e-09
0.0029               -5.330728311275e-07 2.267818072299e-06 4.778350237567e-07 -5.246427662288e-07 2.236622106528e-06 4.858612025431e-07 -8.430064898629e-09 3.119596577021e-08 -8.026178786337e-09
0.00295              -5.434071948497e-07 2.306987627296e-06 4.819140081533e-07 -5.350800857614e-07 2.276089131041e-06 4.895124417964e-07 -8.327109088305e-09 3.089849625542e-08 -7.598433643033e-09
0.003                -5.330824048008e-07 2.258938076419e-06 4.745231206533e-07 -5.248577990674e-07 2.228330845335e-06 4.817012071224e-07 -8.224605733402e-09 3.060723108437e-08 -7.178086469071e-09
0.00305              -5.385291054434e-07 2.279811933653e-06 4.757844956694e-07 -5.304057241859e-07 2.249490631575e-06 4.825694415476e-07 -8.123381257588e-09 3.032130207709e-08 -6.784945878211e-09
0.0031               -5.317277745425e-07 2.246227289394e-06 4.706061592537e-07 -5.237031492791e-07 2.216182341792e-06 4.770008903839e-07 -8.024625263465e-09 3.004494760213e-08 -6.394731130202e-09
0.00315              -5.334144691886e-07 2.251300218701e-06 4.697542125062e-07 -5.254881352627e-07 2.221526791624e-06 4.757800029544e-07 -7.926333925972e-09 2.977342707745e-08 -6.025790448232e-09
0.0032               -5.327958377926e-07 2.245426316847e-06 4.681421282135e-07 -5.249658700672e-07 2.215918520443e-06 4.738092551894e-07 -7.829967725392e-09 2.950779640431e-08 -5.667126975922e-09
0.00325              -5.338528506001e-07 2.247692426625e-06 4.671698713549e-07 -5.261170610679e-07 2.218447099810e-06 4.725004406337e-07 -7.735789532191e-09 2.924532681466e-08 -5.330569278719e-09
0.0033               -5.254426958368e-07 2.208081229247e-06 4.609442476597e-07 -5.178019826612e-07 2.179089699181e-06 4.659318434847e-07 -7.640713175539e-09 2.899153006661e-08 -4.987595825082e-09
0.00335              -5.312356683905e-07 2.231446915867e-06 4.629844866814e-07 -5.236874280859e-07 2.202705544497e-06 4.676482947506e-07 -7.548240304595e-09 2.874137137041e-08 -4.663808069192e-09
0.0034               -5.278017017598e-07 2.212850894900e-06 4.596638978016e-07 -5.203442884221e-07 2.184355150467e-06 4.640096708587e-07 -7.457413337618e-09 2.849574443280e-08 -4.345773057074e-09
0.00345              -5.239708624515e-07 2.195765798539e-06 4.559437307458e-07 -5.166042770156e-07 2.167509790939e-06 4.599844096536e-07 -7.366585435882e-09 2.825600759990e-08 -4.040678907865e-09
